race100m,longjump,shotput,highjump,race400m,race110mhurdles,discus,polevault,javelinthrow,race1500m
11.29,7.29,14.6,2.02,49.2,15.26,43.96,4.5,57.6,271.72
11.38,7.4,14.9,2.07,50.03,15.63,41.84,4.8,58.88,283.55
11.01,7.21,16.2,1.95,50.9,14.95,45.68,4.6,52.04,277.95
10.88,7.11,15.25,1.98,50.65,14.7,43.68,4.9,51.3,290.34
11.51,7.02,14.07,1.95,49.74,15.39,43.4,4.8,62.58,266.29
11.36,6.95,16.02,1.91,51.2,14.99,49.56,4.4,67.72,292.88
11.13,7.17,13.33,2,49.31,15.18,42.02,4.9,62.02,291.46
11.35,6.93,14.89,1.98,51.55,14.95,44.94,4.6,60.44,269.14
11.41,7.33,14.78,1.99,50.13,15.05,44.4,4.7,51.64,274.68
11.23,7.07,15.67,2.01,49.87,16.34,50.04,4.2,60.1,276.72
11.02,7.46,12.95,2.02,49.75,14.18,42.52,4.2,56.06,283.64
10.91,7.29,14.85,2.01,50.95,15.06,40.64,4.3,60.92,282.63
11.31,7.16,12.26,1.95,49.65,14.71,40.54,4.9,58.08,268.06
10.69,7.31,14.22,1.89,47.82,15.36,44.62,3.8,49.74,253.7
11.23,7.16,13.8,2.02,49.29,15.05,40.36,4.5,57.46,275.73
11.16,6.41,14.54,2.03,50.95,14.82,48.68,4,68.16,282.71
11.33,7.02,12.47,2.03,50.76,14.75,38.16,5,65.7,289.8
10.87,7.67,13.79,1.94,48.91,15,40.54,4.5,54.64,298.43
11.47,6.96,14.66,2.03,50.83,14.27,46.32,4.5,47.74,273.76
11.58,6.9,14.62,1.97,51.27,15.16,46.8,4.5,59.22,267.07
11.44,7.5,12.83,2.19,52.71,14.36,39.9,5,51.44,299.4
10.97,6.92,15.22,1.85,48.83,15.92,44.58,4.5,55.06,265.8
11.25,7.05,13.64,1.92,51.17,15.21,44.48,4.4,65.36,271.1
10.98,6.6,14.57,1.95,49.69,14.36,45.74,4,63.42,286.5
10.99,7.15,14.63,1.91,49.93,14.57,41.66,4.5,51.04,276.33
11.19,7.23,13.25,1.86,50.11,14.82,46.96,4.7,54.82,282.78
11.1,7.35,14.73,1.85,48.52,14.85,45.68,4.4,50.58,286.87
11.21,7.16,15.69,1.98,50.47,15.6,45.06,4.5,53.4,285.15
11.57,6.93,14.68,2.1,49.85,15.85,40.48,4.7,58.6,280.41
11,7.02,15.15,1.85,49.68,14.62,42.84,4.4,51.82,273.86
11.27,7.16,13.28,1.91,49.2,15.05,44.64,4.57,51.88,269.4
11.03,7.11,11.91,1.98,49.48,14.72,40,4.6,59.68,282.48
11.02,6.69,14.57,1.8,48.62,14.36,39.88,4.1,63.68,267.83
10.79,7.43,12.89,1.95,50.07,14.53,38.4,4.4,61.88,301.51
11.38,7.2,14.02,2.02,50.47,15.14,39.96,4.6,56.1,279
11.66,7.15,14.14,2.01,51.59,15.01,42.08,4.7,61.08,285.35
11.37,6.99,13.86,2.12,51.33,15.71,44.68,4.4,55.54,272.62
10.98,7.23,13.46,2.02,50.31,15.01,39.7,4.3,55.78,276.74
11.27,7.09,15.7,1.97,52.51,15.44,44.5,4.5,58.98,285.21
11.22,6.71,12.11,2.15,49.09,14.96,38.88,4.5,55.94,272.61
11.22,6.72,14.42,2,49.87,15.69,47.12,4.5,55.68,280.92
11.41,7.18,12.82,2.05,50.69,14.61,37.7,4.2,60.42,265.58
11.4,7.22,14.17,1.98,51.98,15.29,46,4.9,50.28,283.63
11.08,7.14,13.73,2.01,50.03,15.76,40.44,4.2,63.8,278.31
11.19,7.17,13.39,1.95,51.4,14.95,39.72,4.5,61.34,274.8
11.34,7,15.39,2.02,49.6,16.76,47.5,4.4,56.4,287.3
11.37,6.87,14.6,1.95,51.61,15.05,45.02,4.5,58.94,283.9
11.12,6.74,13.89,1.85,48.18,15.1,42.22,4,61.9,266.7
10.75,7.29,13.58,1.78,49.04,15.05,42.82,4.4,54.74,285.88
11.14,7.49,13.36,1.86,48.53,15.32,38.94,4.5,55.52,281.61
11.21,7.48,13.14,1.9,48.47,15.11,45.08,4.4,52.4,295.97
11.28,7.14,13.48,1.9,50.56,15.41,40.54,4.4,63.76,276.2
10.68,7.4,12.48,1.82,49.02,14.87,37.78,4.8,45.8,276.41
11.4,6.86,12.82,2.04,49.48,15.14,40.48,4.7,51.58,275.34
11.08,6.74,12.78,1.92,49.75,14.54,39.48,4.6,60.04,286.43
11.28,7.33,14.23,1.95,52.54,14.65,45.56,4.3,52.86,287
11.14,7.06,15.35,1.93,50.03,15.73,45.76,4.5,55.66,305.67
11.06,7.25,14.02,1.99,50.11,15.97,40.38,4.6,52.86,286.14
10.88,6.91,14.05,1.8,48.2,16.62,40.58,4.2,65.2,268.08
11.26,6.94,13.05,1.94,49.43,15.14,37.86,3.9,65.58,263.7
11.55,6.75,11.66,2.09,50.96,14.9,38.7,4.6,56.64,262.22
10.78,6.73,12.28,2.02,48.49,14.39,38.12,3.9,51.18,266.19
11.51,7.02,12.39,2.04,50.83,15.25,36.04,4.7,59.58,271.35
11.36,7.17,13.61,1.96,49.59,14.87,35.22,4.4,63.82,293.2
11.1,7.43,13.29,2.05,50.49,15.53,36.4,4.3,54.14,281.28
11.06,7.37,12.45,1.96,50.59,15.57,36.82,4.7,56.88,284.42
11.41,6.7,15.02,1.93,52.04,15.43,43.64,4.2,64.28,276.56
11.43,6.69,12.93,1.94,51.72,15.53,44.22,4.4,67.12,275.74
11.29,6.87,14.52,1.96,50.89,14.93,39.6,4.2,54.5,268.65
11.59,6.9,13.92,1.97,51.52,15.68,42.14,5.1,49.56,276.3
11.61,6.55,12.69,1.92,50.18,15.52,44.58,4.4,60.44,257.73
10.91,7.04,15.25,1.99,49.75,15,44.96,4,54.1,319.07
10.72,7.11,13.3,1.89,49.84,15.29,42.4,4.2,50.14,279.74
11.29,7.03,13.22,1.92,50.57,15.68,38.56,4.5,60.36,274.5
11.11,7.12,12.01,1.92,49.24,14.86,39.24,4.5,48.54,272.78
11.4,7.04,12.23,2.02,50.31,15.19,37.94,4,57.56,258.43
11.34,6.88,15.31,1.96,51.04,15.59,49.26,4.2,62.2,322.93
11.32,6.76,14.56,1.9,50.28,15.49,43.46,4.2,59.4,281.65
11.43,6.95,14.34,2.06,51.47,15.77,41.64,4,56.2,270.06
11.12,6.71,12.45,1.95,48.82,14.72,38.56,4.3,49.26,264.41
10.98,6.72,13,1.86,49.93,15.19,44.28,4.3,51.94,269.66
11.19,6.83,13.26,1.97,49.94,15.66,40.6,4.1,62.98,281.03
11.05,6.93,12.72,1.94,49.92,15.16,36.2,4.6,47.04,261.85
11.52,6.88,13.13,1.93,52.61,14.8,38.86,5,60.78,294.52
11.26,7.26,13.43,2.05,50.66,15.29,39.14,4.2,49.08,277.62
11.42,7.42,13.82,2.03,51.48,16.01,38.4,3.8,69.52,289.88
11.09,7.35,12.99,2.21,52.52,15.48,36.68,4,65.02,315.13
11.24,6.94,12.93,2.01,50.43,14.59,38.94,4,57.82,283
10.69,7.1,13.72,2,49.62,16.43,40.28,4.4,52.22,296.58
11.6,6.97,14.1,1.85,51.66,15.52,41.4,4.8,62.78,291.54
11.01,6.93,13.33,1.89,50.21,15.85,41.72,4.2,57.12,272.97
11.24,6.97,12.96,1.92,50.39,14.86,40.24,4.4,55.12,285.76
11.09,6.88,12.53,1.86,50.16,15.22,40.74,4.6,61.24,296.95
11.25,6.76,13.09,2.01,51.15,15.64,44.52,4.2,60.32,290.19
11.46,7.09,14,1.99,51.74,15.34,43.44,3.8,57.18,273.91
11.17,6.89,13.32,1.85,50.75,14.85,42.52,4.3,53.92,278.19
11.18,7.11,14.35,1.91,50.61,16.09,45.46,4,51.48,273.92
10.96,6.85,12.88,1.92,50.58,14.95,38.48,4.1,63.22,290.98
11.03,6.35,12.73,1.96,47.63,14.51,38.9,3.8,56.6,277.54
11.63,6.67,16.52,2.08,52.86,16.28,41.6,4.4,56.34,287.27
11.55,6.68,12.65,2.05,51.86,15.91,38.12,4.3,68.68,275.63
11.14,7.21,11.8,1.95,50.21,15.37,34.9,4.6,50.32,269.8
11.02,7.25,13.94,1.91,48.92,14.97,35.46,4,52.42,287.25
11.28,7,12.7,2.03,49.33,14.85,38.32,4.1,42.98,265.46
11.56,6.45,13.64,2.04,51.58,15.57,42.4,4.8,50.86,280.71
11.44,6.96,13.95,1.98,50.61,15.71,43.9,4,56.96,285.78
11.67,6.32,13.85,1.91,50.24,15.32,42.38,4.4,58.68,271.44
10.99,7.08,12.76,2.06,50.33,14.76,34.02,4.4,42.42,280.95
11.63,6.99,13.91,1.96,50.46,14.99,39.3,4.2,52.32,277.99
11.37,6.59,13.91,1.85,50.25,14.99,44.17,4.1,57.73,283.59
11.32,6.98,12.04,1.95,49.73,15.29,39.86,4.4,46.92,268.92
11.45,7.01,12.54,2,52.26,15.78,39.48,4.2,61.4,276.36
11.46,6.7,14.45,1.81,51.23,15.04,38.66,4,68.74,283.84
10.69,7.55,13.2,1.99,47.94,16.02,38.52,3.6,54.74,314.08
11.43,6.76,14.15,1.95,50.6,14.93,40.68,4.1,56.6,292.75
11.35,6.78,13.2,1.98,50.1,15.52,32.7,5,50.42,285.64
11.38,7.19,11.74,2.06,49.43,15.91,36.82,3.8,57.72,272.62
11.71,6.95,13.94,1.9,50.51,15.11,41.32,4.6,50.32,291.14
10.81,7.09,10.89,1.85,48.79,15.26,37.28,4.1,55.52,276.97
11.58,7.31,12.62,1.99,50.55,15.58,39.22,4.3,49.84,279.09
11.13,6.88,12.79,1.91,48.91,15.89,40.38,4.2,45.2,263.95
11.45,6.47,13.27,1.8,50.19,15.15,44.24,4.2,50.7,257.98
11.56,6.77,11.63,2.01,50.83,14.8,40.88,4.2,48.74,265.7
11.33,6.89,12.86,1.92,50.26,15.52,36.6,4.4,52.28,271.3
11.65,7.06,13.17,1.95,52.34,15.93,38.3,4.4,61.64,281.13
11.01,6.59,12.24,1.82,48.43,16.76,34.86,5,52.62,268.8
11.1,7.43,12.39,1.87,49.16,15.67,32.38,4.1,53.7,272.08
11.01,7.22,11.69,1.94,49.26,15.08,31,4.3,46.42,270.67
11.55,6.85,13.67,2,51.45,15.68,39.62,4.1,57.98,285.38
11.53,6.31,14.21,1.99,51.68,15.45,40.96,4.5,57.08,293.8
11.61,6.73,14.18,1.91,52,15.35,44.48,4.2,49.96,275.04
11.21,6.11,12.73,1.88,50.26,15.1,42.62,3.9,59.4,268.44
11.35,6.76,13.4,1.96,51.19,15.44,39.22,4.2,51.66,276.15
11.08,7.38,11.3,1.9,50.73,15.22,39.04,4.4,46.96,285.96
11.61,6.97,13.42,1.91,49.73,15.61,39.02,4.4,44.58,269.8
11.14,6.91,12.74,1.95,53.13,15.19,39.7,4.1,65.36,305.31
11.71,6.84,12.8,2.02,50.54,16.04,34.16,4,65.6,274.61
11.16,6.84,12.73,1.85,49.86,15.03,39.44,4.04,53.64,282.36
10.95,7.36,12.17,1.95,50.95,15.42,36.18,4.3,51.14,298.52
11.55,6.58,13.66,1.85,50.42,15.38,42.8,4.2,49.22,265.94
11.31,7.08,13.09,1.8,52.74,15.65,40.58,4.5,53.34,275
11.33,7.46,11.95,1.93,50.81,16.19,37.76,4.2,55.04,281.56
11.36,6.94,12.75,1.88,50.74,16.37,38.9,4.3,60.18,280.08
10.79,6.84,11.06,1.9,49.18,16.18,38.92,4.88,46.18,293.16
11.47,6.4,10.78,1.99,50.34,14.92,33.74,4.7,51.74,266.15
11.13,6.85,12.76,1.8,49.8,15.21,37.92,4.2,51.64,274.74
11.57,6.73,13.78,1.94,51.45,14.76,42.18,4.1,46.24,278.39
11.35,6.98,12.59,2,52.81,15.15,36.4,4.5,47.04,277.1
11.14,6.84,13.19,2.04,54.25,15.49,41.28,4.8,52.76,322.58
10.95,6.84,11.25,1.98,49.27,15.2,34.02,3.9,45.84,258.72
11.36,6.82,11.66,1.88,49.83,14.83,39.6,4.2,49.84,276.99
11.85,6.74,12.86,1.93,51.34,15.95,39.8,4.3,53.26,259.98
11.15,7.1,13.57,1.86,50.84,16.35,39.14,3.4,63.94,274.09
11.44,6.51,13.76,1.88,52.57,15.48,37.7,4.1,71.64,295.38
11.16,6.78,13.6,1.84,49.66,16.4,43.6,4,45.18,263.75
11.74,6.41,12.69,1.89,51.77,15.86,38.3,4.56,64.42,277.15
11.15,7.36,11.5,2.05,49.49,16.08,38.1,3.8,44.42,274.61
11.55,6.84,12.38,1.85,51.19,15.95,37.36,4.6,54.9,269.85
11.69,6.7,12.13,1.96,53.35,15.77,41,4.3,61.64,275.7
11.1,7.13,12.21,2.03,50.15,16.16,37.7,3.8,53.8,286.79
11.3,6.91,13.6,1.92,52.83,15.31,37.62,4.6,46.04,283.58
11.84,6.66,13.09,1.9,51.3,15.46,39.28,4.1,58.42,269.16
11.6,6.96,13.28,1.85,51.31,15.03,42.1,4,57.4,293.72
10.85,7.19,12.92,1.85,50.45,15.71,35.94,3.8,47.4,266.34
12.15,6.61,13.08,1.87,52.19,15.28,40.2,4.5,57.94,271.92
11.2,6.88,12.39,1.92,51.05,15.62,36.6,4.4,45.92,270.21
11.24,6.79,14.18,1.8,50.52,15.23,41.66,4.1,48.94,287.38
11.68,6.94,13.22,1.82,49.75,16.67,36.98,4.5,52.86,264.04
11.29,7.17,11.85,1.95,50.74,15.69,36.36,4.2,56.22,292.72
11.47,6.88,11.31,1.96,51.72,15.57,38.58,4.2,56.52,275.5
11.8,6.8,12.76,1.93,50.31,15.6,41.2,4.2,54.78,285.55
11.49,6.28,10.82,2.03,49.79,14.95,35.04,4.4,52.64,274.6
11.16,6.76,10.55,1.94,48.56,15.39,33.9,4.2,47.38,265.67
11.57,6.29,13.51,1.91,51.45,14.99,41.9,4.3,54.7,293.46
12.27,6.89,12.85,2.03,52.6,15.8,36.8,4,58.78,261.53
11.74,6.7,14.06,1.85,50.9,16.32,39.84,4.3,54.96,273.34
11.26,6.84,13.06,1.87,51.33,15.58,41.24,4.15,51.48,288.46
11.42,6.82,12.31,1.9,50.27,15.61,39.9,3.9,53.14,274.57
11.41,7.01,13.66,1.96,50.89,15.6,41.44,4.1,50.46,308.19
11.05,6.88,13.62,1.92,50.39,15.83,41.1,4,48.36,298.59
11.98,6.69,11.96,2.05,52.37,15.82,34.12,4.3,62.3,274
11.37,7.09,13.39,2.01,51.96,15.08,36.44,4.1,47.22,296.93
11.08,7.03,12.87,1.93,51.62,15.72,45.16,3.4,53.52,291.18
11.37,6.72,13.43,1.83,51.83,15.81,37.88,4.2,51.78,265.54
11.87,6.7,13.04,1.96,53.41,15.44,37.84,4.6,48.98,271.41
11.46,7.01,13.46,1.84,50.23,15.1,40.84,4.3,44.88,299.19
11.44,7.14,12.52,1.99,50.12,15.55,32.92,3.6,50.76,266.68
11.87,6.5,13.59,1.95,51.53,15.21,41.12,4,51.62,274.74
11.49,7.08,12.77,1.9,53.13,16.37,40.06,4.67,47.94,281.11
11.67,6.72,13.23,1.87,51.21,16.08,40.8,4.2,56.46,281.35
11.61,6.84,12.59,1.96,49.98,15.22,41.38,3.8,51,290.59
11.73,6.65,12.83,1.96,50.9,16.27,37.7,4.2,47.4,255.02
11.32,6.55,12.95,1.79,50.11,16.02,41.46,4.2,53.72,278.51
11.6,6.61,11.54,1.8,50.67,15.48,37.9,4.1,56.54,257.91
11.34,6.77,13.46,1.81,49.96,15.31,37.14,4.4,51.32,299.1
11.39,6.58,12.84,1.77,49.86,15,38.52,4.2,52.12,282.44
11.37,6.72,12.82,1.9,49.26,15.09,39.52,4.1,42.1,283.91
11.57,6.59,13.3,1.96,49.89,15.41,35.78,4.45,48.58,294.85
11.34,6.92,11.61,1.79,50.04,16.26,36.16,4.24,65.38,289.67
11.24,6.38,12.15,1.83,48.89,15.67,35.5,4.2,52.68,269.14
11.17,6.86,12.72,2,50.61,16,37.2,4.5,45.94,305.2
11.22,6.67,13.02,1.86,51.77,15.45,38.56,4.4,46.28,280.32
11.53,6.98,11.47,2.05,51.64,15.59,36.48,4.5,46.54,291.18
11.15,6.68,13.56,1.81,50.94,15.47,38.24,4,52.6,283.54
11.53,6.97,11.68,1.99,50.95,15.09,37.28,4,42.86,270.01
11.15,6.84,12.6,1.89,52.23,15.99,37.8,4.5,50.28,288.91
11.45,6.95,11.39,2.03,50.06,16.04,36.26,4.4,47,288.68
11.92,6.65,14.64,1.96,53.66,15.79,42.8,4.2,53.5,290.9
11.34,6.94,11.07,1.86,50.62,15.12,30,4.2,54.6,266.98
11.53,6.86,12.2,1.79,51.33,16.93,44.14,4.3,58.72,281.31
11.4,7.2,13.89,1.85,56.7,15.27,41.68,4.3,54.66,300.54
11.34,7.01,12,1.9,51.74,15.26,37.5,4.2,48.06,282.24
11.56,6.76,13.96,1.9,50.31,15.73,35.76,3.7,47.44,258.83
11.38,7.11,12.17,1.82,51.06,15.59,36.36,4.2,54.48,286.31
11.47,6.84,11.94,2.15,52.48,15.62,37.64,3.8,49.38,283.16
11.4,7.1,11.09,1.93,50.17,15.99,34.28,4.6,41.3,271.09
11.43,6.76,12.27,1.82,50.57,15.34,42.76,4.1,53.48,295.6
11.25,7.06,12.38,1.95,49.03,15.24,35.38,3.4,42.72,266.59
11.82,6.51,13.11,1.83,53.54,15.64,44.9,4.2,62.1,290.44
11.44,6.78,12.18,1.8,50.64,15,36.98,4,49.62,269.13
11.45,6.51,14.4,1.95,52.79,16.71,40.54,3.8,65.06,295.44
11.32,6.6,12.27,1.93,49.3,16.13,36.68,3.9,52.38,275.79
11.09,6.66,11.47,1.88,52.32,14.72,34.32,4.5,50.06,290.93
11.49,6.85,11.91,1.96,50.82,16.85,32.64,4.73,47.84,272.03
11.69,6.81,12.84,1.96,50.21,15.83,31.44,4.2,48.56,269.28
11.65,6.95,12.22,2,51.83,15.4,33.76,3.9,51.48,274.4
11.44,6.6,13.07,2.01,51.71,16.39,39.42,4.4,54.92,312.39
11.23,6.34,13.63,1.8,50.51,15.83,39.72,4.1,50.34,279.04
11.68,6.33,11.71,1.88,50.75,15.27,36.86,4.4,46.36,261.01
11.11,6.95,12.08,1.86,50.72,16.05,35,4.4,54.1,303.38
10.97,6.52,11.91,1.82,49.18,17.45,37.28,5,47.72,292.79
11.55,6.5,13.23,1.84,51.65,15.48,45.36,4.1,47.08,286.7
11.51,6.47,14.28,1.75,50.44,15.52,38.5,4,57.34,290.98
11.67,7.14,11.7,1.84,52.84,16.09,36.1,4.3,63.48,291.24
11.52,6.88,11.37,1.87,50.17,15.65,35.84,4.4,50.04,285.77
11.16,6.43,13.08,1.9,49,15.39,35.12,3.7,55.1,295.41
11.48,6.81,12.82,1.86,53.84,15.84,40.94,4.1,54.32,282.28
11.38,6.22,15.6,1.85,51.84,15.04,40.66,4,67.4,358.64
11.64,6.35,13.08,1.88,51.5,15.04,41.44,3.54,57.3,281.64
11.69,6.6,11.92,1.82,50.85,15.99,35.66,4.4,56.58,274.73
11.64,6.76,12.35,1.92,50.72,17.8,37.46,4.4,54.04,270.68
11.16,6.91,11.49,2.06,50.07,15.62,34.91,3.8,40.62,279.57
11.49,6.54,14.82,1.93,51.73,15.44,39.08,4,48.7,301.98
11.66,6.82,13.73,1.95,51.85,16.49,36.56,4.2,49.06,280.04
11.22,6.71,13.07,1.93,52.7,15.15,33.36,4.5,51.98,313.05
11.21,6.9,12.76,1.84,51.9,15.96,39.64,4,49.64,285.11
11.53,6.52,11.59,1.92,50.01,15.01,30.88,4.2,43.62,260.16
11.33,6.86,12.86,1.95,55.04,15.41,39.36,4.06,56.28,305.44
11.41,6.89,10.38,1.86,50.29,15.51,34.14,4.2,46.04,262.33
11.58,6.49,12.61,1.95,52.95,15.94,37.94,4.4,46.82,273.27
11.43,6.78,13.82,1.85,51.5,16.32,38.6,4.1,55.84,300.6
11.98,6.47,12.16,1.98,52.05,15.82,37.86,3.8,60.44,274.19
11.46,7.05,11.06,1.8,51.36,15.67,33.32,4.6,50.1,281.78
11.86,6.51,12.7,1.87,51.38,16.93,43.86,4.1,53.56,271.39
11.46,6.86,12.33,1.8,52.86,16.04,36.22,4.2,61.1,286.74
11.45,6.56,11.79,1.92,52.46,15.42,38.54,3.9,58.04,288.79
11.16,6.36,10.93,1.95,51.7,14.94,36.02,4,48.96,276.67
11.5,6.88,11.6,1.98,52.3,16.17,34.8,4,52.72,273.5
11.75,6.47,12.59,1.9,55.07,15.65,41.74,4.2,52.32,269.95
11.42,7.12,12.7,1.89,52.65,15.18,37.08,4,50.14,301.52
11.92,6.46,13.19,2.04,56.55,15.82,41.92,4,72.12,321.23
11.67,6.87,12.06,1.98,51.19,15.87,40.16,4,42.12,278.51
11.5,6.17,11.84,1.95,52.34,15.23,31.78,4.6,51.64,279.58
11.36,6.61,12.03,1.92,49.82,15.62,34.46,3.8,44.82,265.02
11.36,6.78,11.94,1.86,52.24,15.42,40.68,4,46.04,279.73
11.41,6.46,12.21,1.83,50.62,16.2,36.22,4,55.7,271.65
11.28,6.8,13.5,1.8,54.72,16.29,45.3,4.1,49.2,286.83
11.27,6.79,11.49,1.94,51.13,15.47,34.18,3.7,52.22,280.11
11.42,6.83,11.45,1.92,50.92,16.2,36,4.1,52.28,285.52
11.37,6.86,12.41,1.97,50.1,16.52,37.02,3.4,45.82,264.39
11.4,6.91,11.17,2.04,51.37,15.05,34.36,3.5,40,263.32
11.61,6.43,12.28,1.84,50.63,15.63,41.02,3.5,55.38,272.82
11,6.68,14.16,1.8,53.8,15.34,39.76,3.8,55.64,311.07
11.54,6.69,11.8,1.82,51.41,15.93,34.44,4.4,54.64,283.84
11.54,7.14,12.68,1.92,52.05,16.25,34.68,4.2,45.3,282.91
11.28,6.85,11.16,1.96,51.97,15.14,34.62,4.4,47.02,307.53
12.07,6.54,14.26,1.87,52.18,15.34,42.36,4.2,52.92,313.18
11.94,6.64,14.07,1.91,53.28,16.87,44.6,3.8,55.16,282.99
11.15,6.66,11.8,1.8,50.55,16.65,34.96,4.6,45.7,277.85
11.74,6.92,12.06,1.9,50.28,15.69,35.45,3.8,49.9,278.83
11.44,6.97,11.96,1.76,50.04,15.67,35.18,3.9,51.36,279.51
10.26,7.72,15.73,2,47.02,14.04,43.38,5.1,62.78,266.16
10.87,7.89,16.46,2.12,48.79,14.52,48.42,4.6,64.38,261.61
10.83,7.6,15.45,2.12,47.57,14.07,45.66,4.9,65.34,275
10.82,7.76,16.62,1.93,48.75,14.09,48.42,4.6,63.82,272.36
10.53,7.85,14.93,2.09,48.03,14.91,43.64,5.1,57.76,287.15
10.77,7.39,14.67,2.16,50.16,14.98,49.06,4.8,63.52,288.06
11.23,7.57,15.8,1.93,49.5,14.79,47.98,4.9,64.78,269.22
10.9,7.52,15.33,2.02,50.1,14.65,48.56,4.8,59.28,269.34
11.13,7.5,16.06,2.11,49.99,14.47,43.78,4.9,64.46,288.18
10.91,7.72,13.5,1.93,48.91,14.82,43.32,5.15,59.98,264.53
11.09,7.35,15.66,1.96,50.23,14.19,44.8,4.6,67.12,268.46
10.71,7.48,14.27,1.99,46.74,14.43,43.46,4.6,51.52,260.97
11.14,7.35,14.72,2.08,49.61,14.82,46.62,5,53.1,263.57
10.85,7.4,13.96,2,47.68,14.61,44.7,4.8,54.46,264.16
11.23,7.3,14.08,2.07,49.53,14.79,46.16,4.9,62.78,270.06
10.84,7.36,14.73,2.15,50.03,14.83,45.4,4.7,57.1,275.2
10.74,7.42,13.27,2,47.79,14.34,39.22,4.9,55.18,258.97
10.82,7.29,13.96,1.9,47.9,14.96,43.52,5.1,61.88,271.47
11.3,7.04,15.5,1.99,49.45,15.03,49.94,4.9,61.32,270.29
11.02,7.42,14.69,2.11,50.66,14.14,42.32,4.8,62.82,288.33
10.84,7.36,14.23,2.05,49.74,14.59,43.56,4.8,57.22,267.66
11.04,7.24,15.57,1.99,49.48,14.7,46.4,4.7,54.4,260.67
11.11,7.54,14.13,2.11,49.68,14.82,47.12,4.8,48.1,266.17
10.82,7.3,14.13,2.02,48.37,14.11,43.14,4.5,57.04,271.6
11.16,6.92,13.68,2.09,47.97,14.93,42.1,4.7,63.4,260.56
11,7.48,14.35,1.95,48.43,14.71,39.42,4.7,60.64,261.95
11.18,7.71,14.97,2.05,50.6,14.85,44.4,4.6,61.28,280.1
11.18,7.45,14.49,1.96,49.75,15.18,48.6,4.9,58.78,274.34
11.23,6.93,14.53,1.99,49.32,14.82,48.52,5,64.9,287.29
10.72,7.8,14.59,1.99,48.56,14.71,42.82,4.5,50.66,273.84
11.35,7.27,14.17,2.11,50.03,15.28,44.84,4.9,58.72,269.84
